20220701 10:56:55 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:56:55 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:56:56 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:56:56 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:56:56 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果相等！
20220701 10:56:56 - MainProcess | MainThread | log_config.info:48 - INFO -断言返回体相等成功！
20220701 10:57:29 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:57:29 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:57:30 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:57:41 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:57:41 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:57:41 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:57:41 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:57:41 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果相等！
20220701 10:57:41 - MainProcess | MainThread | log_config.info:48 - INFO -断言返回体相等成功！
20220701 10:58:50 - MainProcess | MainThread | main.main:14 - INFO -☆☆☆清除多余的结果文件☆☆☆
20220701 10:58:50 - MainProcess | MainThread | main.main:19 - INFO -当前时间为：2022_07_01_10_58_50
20220701 10:58:50 - MainProcess | MainThread | main.main:28 - INFO -☆☆☆开始执行测试☆☆☆
20220701 10:58:50 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:58:51 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:58:51 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "0"" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:58:51 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:58:51 - MainProcess | MainThread | test_roles_common.test_001_tableAttr:37 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果相等！
20220701 10:58:51 - MainProcess | MainThread | log_config.error:57 - ERROR -Response body msg != expected_msg, expected_msg is {"code":1,"msg":"Incorrect user name","data":null}, body_msg is {'code': 1, 'msg': 'Incorrect user name', 'data': None}
20220701 10:58:51 - MainProcess | MainThread | test_roles_common2.test_002_2:36 - INFO -开始测试
20220701 10:58:51 - MainProcess | MainThread | test_roles_common2.test_002_2:45 - INFO -测试成功！
20220701 10:58:52 - MainProcess | MainThread | main.main:32 - INFO -☆☆☆执行结束，生成测试报告☆☆☆
20220701 10:58:59 - MainProcess | MainThread | main.main:36 - INFO -
报告路径为: 
HTML报告 ==> ./outFiles/report/html/2022_07_01_10_58_50.html
Allure报告 ==> ./outFiles/report/allure/2022_07_01_10_58_50
20220701 10:58:59 - MainProcess | MainThread | main.main:42 - INFO -☆☆☆写入Excel测试结果☆☆☆
20220701 10:59:56 - MainProcess | MainThread | main.main:14 - INFO -☆☆☆清除多余的结果文件☆☆☆
20220701 10:59:56 - MainProcess | MainThread | main.main:19 - INFO -当前时间为：2022_07_01_10_59_56
20220701 10:59:56 - MainProcess | MainThread | main.main:28 - INFO -☆☆☆开始执行测试☆☆☆
20220701 10:59:56 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:59:56 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:59:56 - MainProcess | MainThread | read_file.__init__:30 - INFO -☆☆☆读取Excel数据☆☆☆
20220701 10:59:56 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:59:56 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:59:56 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "0"" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:59:56 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:59:56 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:59:56 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:59:56 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:59:57 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
20220701 10:59:57 - MainProcess | MainThread | log_config.error:57 - ERROR -expected_msg not in body!, expected_msg is "code": "1" , body_msg is {"code": 1, "msg": "\u7528\u6237\u672a\u767b\u5f55", "data": null}
20220701 10:59:57 - MainProcess | MainThread | test_auth_login.test_001_login:32 - INFO -开始测试
20220701 10:59:57 - MainProcess | MainThread | log_config.info:48 - INFO -判断预期结果包含！
